Type;Lat;Long;Intensity;Date;From;To
Issue;-12.0878873051436;-77.0340583231535;5;2020-07-28;10;17
Issue;-12.0934913193865;-77.0308489732755;1;2020-12-04;23;23
Issue;-12.102422078722;-77.0113295667915;1;2020-04-10;12;18
Issue;-12.0722781850851;-77.0313573312365;1;2020-12-13;14;20
Density;-12.0972365410755;-76.9702534178906;1;2020-06-22;7;22
Issue;-12.0780505918265;-76.9682716204025;2;2020-08-23;14;20
Density;-12.0684019357587;-77.051097577525;5;2020-02-12;2;22
Issue;-12.1018502614643;-77.0149691493442;2;2020-11-15;21;23
Density;-12.0682188313487;-77.0160624999654;2;2020-08-25;20;22
Issue;-12.0926423786256;-76.9966248927262;2;2020-08-23;21;21
Density;-12.0724361077158;-76.9833158462427;3;2020-02-29;15;17
Issue;-12.0798650474645;-77.0278245229263;3;2020-07-13;4;6
Density;-12.0699898621484;-76.9856493515639;3;2020-07-26;2;3
Issue;-12.0964715469463;-76.9793957215801;5;2020-01-08;4;4
Density;-12.1067717848824;-77.0309942400976;2;2020-04-29;13;14
Density;-12.0881771690164;-77.0236090773627;3;2020-08-30;17;21
Issue;-12.0727508474463;-77.0380108459537;3;2020-03-03;10;19
Issue;-12.0695119519599;-77.0509503109094;2;2020-02-23;15;21
Issue;-12.0975425530676;-77.0187315296414;4;2020-04-25;20;21
Density;-12.1164212577231;-76.9722966301102;2;2020-10-27;6;18
Density;-12.0699865895207;-77.0216996483098;2;2020-04-28;19;20
Density;-12.106322777932;-77.0003436902463;5;2020-04-13;6;19
Issue;-12.0736084664023;-76.9892612509103;4;2020-08-15;18;18
Issue;-12.1154887592264;-77.0376713776783;5;2020-01-08;10;11
Issue;-12.0875084234117;-76.9931797197146;4;2020-12-20;13;21
Issue;-12.0768802589874;-77.0090941187701;4;2020-11-25;19;21
Density;-12.1070489716662;-77.0073961247596;3;2020-12-26;16;23
Density;-12.1005257887566;-77.0479143339502;2;2020-07-21;15;18
Density;-12.0960393753038;-76.985033567613;5;2020-04-12;1;9
Issue;-12.1065667446003;-77.0018544503428;5;2020-03-29;12;12
Density;-12.0735244257176;-76.9973530389845;3;2020-06-18;9;18
Density;-12.1084891991112;-76.9967667383485;5;2020-02-22;6;22
Density;-12.0745038201938;-77.0293271913245;1;2020-10-15;19;20
Issue;-12.0943093815356;-77.0512650554793;5;2020-02-09;1;2
Issue;-12.0724356624612;-76.998101517846;1;2020-01-20;19;22
Density;-12.0939978699667;-76.9799830659933;1;2020-06-03;15;21
Issue;-12.0923435169118;-77.0124827232366;5;2020-06-19;21;22
Density;-12.1123270834697;-77.0056668058293;5;2020-12-07;22;22
Issue;-12.0745652314155;-76.9742947163609;3;2020-01-16;17;19
Density;-12.1162307399338;-77.0233116362445;2;2020-02-23;10;17
Density;-12.1038333969646;-77.0193425567131;5;2020-01-27;22;22
Issue;-12.0911502213962;-77.031778931815;2;2020-05-28;7;19
Density;-12.0843103500302;-76.9695561519531;5;2020-05-26;4;21
Density;-12.1006373527442;-76.9875031121415;5;2020-07-31;2;15
Issue;-12.1033156638521;-76.9827014952509;1;2020-01-25;7;15
Density;-12.0830024933786;-77.0381483348991;4;2020-08-26;3;6
Density;-12.0735981230001;-77.0124918777136;4;2020-08-23;21;23
Density;-12.0764891394449;-76.9936476136953;4;2020-05-31;20;20
Issue;-12.0712718660994;-77.0134222050636;2;2020-07-28;12;20
Issue;-12.0758598851486;-77.0073745058121;3;2020-08-25;23;23
Issue;-12.100611387966;-77.0379057287988;2;2020-08-04;21;21
Density;-12.0853625762459;-77.0459056281231;4;2020-02-12;15;18
Issue;-12.1042705075321;-77.0069987376513;4;2020-06-12;10;19
Issue;-12.0671395178737;-77.0035753209153;2;2020-05-22;16;23
Issue;-12.0702842163477;-77.037259226498;5;2020-01-07;17;18
Issue;-12.0884550615187;-77.0134184841084;3;2020-10-26;12;13
Issue;-12.1026229463378;-77.0126511628775;4;2020-08-24;22;23
Density;-12.100005594176;-77.0018885780328;3;2020-12-20;20;21
Issue;-12.0927877963331;-77.0116002455707;4;2020-11-11;23;23
Density;-12.1029972559214;-77.0270531624132;3;2020-07-04;2;17
Issue;-12.0839995056752;-77.0042738077853;3;2020-05-23;20;20
Issue;-12.0960191015241;-77.0326375983056;5;2020-02-01;5;6
Issue;-12.1074530663378;-76.9941976953451;1;2020-08-14;23;23
Issue;-12.1091796479268;-76.9786833218759;1;2020-03-03;1;1
Issue;-12.0822308477402;-77.0449989253399;1;2020-02-24;10;12
Density;-12.1116455970231;-77.0225067244392;4;2020-07-06;19;23
Issue;-12.0808621416756;-77.028642437574;3;2020-10-13;0;15
Issue;-12.0703983890682;-76.99921180235;5;2020-03-10;15;17
Density;-12.0665820637251;-77.0192073998183;5;2020-01-19;21;21
Density;-12.0967570766088;-77.0050762471427;3;2020-10-28;1;17
Issue;-12.066741553334;-77.0051330719984;4;2020-04-13;7;14
Issue;-12.0928428209789;-76.9878613620791;2;2020-08-09;9;18
Density;-12.1129385814147;-77.0438562681316;2;2020-04-11;20;23
Issue;-12.085810889495;-76.9717062014657;3;2020-06-13;19;22
Issue;-12.1147061862599;-77.0075572260958;1;2020-08-17;16;17
Issue;-12.1137118128768;-77.0187259056136;4;2020-07-26;4;6
Density;-12.0799866486832;-77.0426820333536;3;2020-06-27;10;15
Density;-12.093885387504;-76.9760549061752;1;2020-01-19;20;23
Issue;-12.0792009753189;-76.9821728417272;4;2020-03-08;21;23
Issue;-12.0723315179152;-76.9799473898029;3;2020-05-24;16;22
Density;-12.1052748156193;-77.0458626343922;1;2020-02-26;8;16
Issue;-12.0866715292253;-77.0259019197041;4;2020-12-09;10;22
Density;-12.0755771094534;-76.996600537342;5;2020-03-21;8;17
Density;-12.1074543053352;-77.0414034405629;1;2020-08-08;11;19
Density;-12.0747840943253;-76.9901347532927;3;2020-10-21;8;8
Density;-12.1058689765199;-76.9874407899877;4;2020-09-14;0;12
Density;-12.1052504136704;-77.0027604983337;5;2020-09-12;15;18
Issue;-12.0823326949388;-77.0461848738185;4;2020-05-29;16;21
Issue;-12.1015047311788;-76.9821214932147;2;2020-05-06;9;18
Density;-12.1142266119006;-76.9736966502806;2;2020-11-14;8;21
Issue;-12.0840629741311;-76.9695291925705;4;2020-01-13;10;23
Issue;-12.0729801646908;-77.0263165891967;3;2020-12-23;8;14
Density;-12.094949798564;-77.0098045729105;4;2020-07-04;15;18
Issue;-12.0708906455711;-77.0385628187113;4;2020-12-30;20;22
Issue;-12.0792961639642;-77.02291319261;5;2020-11-19;8;23
Issue;-12.0982187043871;-77.04169357878;2;2020-01-02;9;20
Issue;-12.0679750124154;-77.0129514933234;3;2020-07-22;8;22
Issue;-12.077652727143;-77.0071554325643;4;2020-02-08;19;21
Density;-12.090760832072;-77.0077190825247;2;2020-12-25;18;18
Density;-12.1162261651787;-77.0504786228814;4;2020-11-19;4;18
Density;-12.0666571566723;-76.967224818622;1;2020-03-17;5;18
Issue;-12.0647171632917;-76.9843511839593;2;2020-02-04;12;23
Density;-12.0779371983139;-77.0055486661981;2;2020-07-21;10;11
Density;-12.0998692160243;-76.9826761162655;4;2020-07-20;11;15
Issue;-12.1032263844844;-76.9996580531117;4;2020-12-22;21;21
Density;-12.0936187577621;-76.9910987562461;2;2020-01-18;19;21
Issue;-12.1129573263284;-76.9754068180153;5;2020-02-22;14;18
Issue;-12.1004717419798;-77.0462012778025;2;2020-02-11;5;5
Issue;-12.0844216053588;-76.9927043758038;2;2020-04-30;22;22
Density;-12.1130228905098;-77.0051234109578;5;2020-04-01;0;22
Issue;-12.0775136341083;-77.0063109555594;4;2020-03-28;10;19
Issue;-12.1132180174105;-76.9697331798917;2;2020-09-19;7;23
Density;-12.109565352045;-76.9800699601842;4;2020-03-24;10;21
Issue;-12.0950483332988;-76.9665217522836;5;2020-04-03;11;14
Density;-12.0735862457757;-76.9689037403605;4;2020-12-31;13;23
Issue;-12.1102094135616;-77.0073121554678;5;2020-02-19;0;14
Issue;-12.0862538596703;-77.0183213981419;3;2020-10-13;15;18
Density;-12.0784967524687;-76.9837225002418;3;2020-06-30;19;19
Density;-12.0877387861144;-77.0021498572917;4;2020-01-01;5;22
Issue;-12.1155042116607;-77.0012424919014;1;2020-07-19;18;20
Issue;-12.099193660321;-77.0286679263901;5;2020-06-23;15;23
Density;-12.0744669695532;-76.9973681895887;3;2020-02-10;19;22
Density;-12.073113812726;-77.0168076905504;1;2020-08-18;10;16
Issue;-12.0709201074806;-76.9844606055238;1;2020-02-17;6;14
Density;-12.108494171122;-76.9962351891179;2;2020-05-13;19;21
Issue;-12.1153217931817;-76.979039628027;4;2020-06-25;19;23
Density;-12.0712791690224;-77.0042143148874;2;2020-01-10;3;8
Density;-12.0947144029725;-76.9868356029984;2;2020-03-17;21;22
Issue;-12.0965092115083;-77.0023862870769;1;2020-04-02;14;22
Density;-12.0746742752777;-77.0117027756499;2;2020-01-05;17;20
Issue;-12.0954379708429;-77.0265864669202;2;2020-06-26;1;22
Density;-12.1044837601332;-76.9708352356319;2;2020-07-14;4;6
Density;-12.0972506642109;-77.0284489954398;4;2020-07-22;19;23
Density;-12.1047496922891;-77.0014398043697;1;2020-03-03;17;19
Density;-12.1150615802124;-77.0394948799326;1;2020-10-09;12;14
Issue;-12.0711784030188;-77.0495184059102;3;2020-05-28;11;12
Issue;-12.0835923676827;-77.0348440321723;5;2020-08-30;0;13
Density;-12.0796416883308;-77.0497999693803;3;2020-05-17;21;22
Density;-12.1008067866495;-77.0415768082496;4;2020-08-18;16;19
Issue;-12.0793992369871;-76.9929673053177;4;2020-07-10;7;19
Density;-12.1092038453922;-77.0084782381589;5;2020-04-16;7;17
Density;-12.1012239184856;-76.9878473966479;1;2020-02-01;8;18
Density;-12.0749619928705;-77.004450193167;5;2020-09-02;6;23
Density;-12.0698253861236;-77.0291669854713;3;2020-04-10;17;19
Issue;-12.1094178960025;-77.01914806498;5;2020-03-02;13;23
Issue;-12.0822141820913;-77.0370313302916;4;2020-06-26;8;23
Issue;-12.0757770608238;-77.0112288422376;3;2020-05-13;5;6
Density;-12.0929442544869;-76.9921089159172;5;2020-12-12;10;21
Issue;-12.0689101763332;-76.994417364044;3;2020-03-13;17;20
Issue;-12.0944155686646;-77.0066827068383;5;2020-11-07;13;19
Density;-12.1016165462069;-77.029720485357;1;2020-01-09;6;12
Density;-12.0806226047698;-77.0372906752547;5;2020-03-19;10;17
Issue;-12.0742569171506;-77.0103450050291;3;2020-04-04;5;5
Density;-12.0811397601567;-76.9979655775561;1;2020-10-07;2;23
Density;-12.0983982042471;-77.0106713702061;3;2020-10-17;19;19
Density;-12.0809370729881;-76.9822292993007;4;2020-09-27;8;22
Issue;-12.0896461872776;-77.0317985439853;5;2020-10-05;10;12
Issue;-12.1013445226707;-77.0318019287487;4;2020-07-19;9;13
Density;-12.071297924977;-77.0273873004131;2;2020-07-03;9;22
Density;-12.0807275021596;-77.0077807216579;4;2020-02-23;23;23
Density;-12.0883952940725;-76.9860647060258;1;2020-02-27;21;21
Density;-12.1135823453716;-76.999611972138;2;2020-01-18;9;22
Issue;-12.1043506446355;-77.0227830131552;2;2020-05-25;5;9
Density;-12.102473236624;-77.0499457743544;4;2020-12-30;7;13
Issue;-12.1043470154755;-76.9914512625866;3;2020-07-30;3;23
Density;-12.0668521814162;-77.0396747354661;1;2020-09-03;22;22
Issue;-12.081819913522;-76.9997644701251;4;2020-05-18;12;22
Issue;-12.0834353176121;-76.9877380714332;1;2020-02-03;23;23
Density;-12.0698307478095;-77.0194707034364;4;2020-12-22;12;15
Density;-12.107829554059;-77.0256059932083;1;2020-10-02;4;15
Issue;-12.0668737230015;-76.9676834363659;5;2020-01-06;0;8
Issue;-12.071104839596;-77.0264967924285;5;2020-02-07;15;21
Issue;-12.1082407023386;-76.9970246679568;4;2020-07-30;10;11
Issue;-12.109151785058;-76.990557453168;2;2020-01-06;6;23
Density;-12.0812956362355;-77.0167904127413;1;2020-12-14;17;20
Density;-12.0734522240192;-76.9885157038232;4;2020-06-29;3;4
Density;-12.0850187597034;-77.0223859995836;4;2020-01-27;22;23
Issue;-12.087696515366;-77.0221959747855;2;2020-01-25;16;21
Issue;-12.1078642505203;-77.0254971679835;5;2020-02-07;18;22
Density;-12.1091803711949;-76.9788672082054;1;2020-07-01;18;23
Density;-12.071083694857;-77.0332964465847;5;2020-07-09;19;19
Issue;-12.0746451598513;-77.0101866946149;2;2020-10-20;20;20
Density;-12.1084242989763;-76.9813798525597;3;2020-08-16;13;17
Density;-12.0942873967189;-77.0076464195065;5;2020-09-07;10;12
Issue;-12.1151506352791;-77.040183400368;2;2020-09-12;2;16
Density;-12.0720470195944;-77.0193986262572;3;2020-07-09;15;19
Density;-12.1130097676829;-77.0229781543814;2;2020-11-12;18;19
Issue;-12.0754429360458;-77.0185297568388;4;2020-11-28;4;21
Issue;-12.1047994122044;-77.0510307218953;4;2020-08-18;10;21
Density;-12.0841741993348;-76.9929489479157;4;2020-04-07;6;22
Density;-12.114505234282;-76.9833742828684;4;2020-02-02;11;18
Density;-12.0967419737544;-76.9740805730076;4;2020-04-06;3;12
Density;-12.1047417593505;-77.0193610636171;1;2020-07-01;22;22
Issue;-12.0817086594203;-77.0311923703691;1;2020-12-05;7;22
Issue;-12.0890804966219;-77.0366226413918;1;2020-10-21;4;13
Density;-12.1027635870841;-77.0078852083817;4;2020-04-11;16;22
Density;-12.1043912891922;-77.0264287228114;4;2020-05-14;13;14
Issue;-12.092965014677;-76.9945820773289;5;2020-08-14;6;20
Density;-12.0921841718036;-76.9988057662056;3;2020-03-04;5;15
Issue;-12.0847401123253;-76.9903232444122;1;2020-04-15;6;12
Density;-12.0932329641891;-76.9677992921017;2;2020-02-18;9;17
Density;-12.0712802812335;-76.9697298111788;4;2020-03-21;0;14
Issue;-12.0990976990972;-77.0209808421894;4;2020-01-03;11;17
Density;-12.1128647691683;-77.0382273193993;3;2020-01-04;12;13
Density;-12.0774412497781;-77.0490473262331;1;2020-02-05;12;16
Issue;-12.0773365778197;-77.0287096573341;4;2020-09-10;21;21
Issue;-12.1091802810054;-76.9666579990662;2;2020-10-13;19;20
Density;-12.0851209915234;-76.9999518693575;4;2020-06-27;0;22
Density;-12.1030598561736;-76.9665123301561;1;2020-03-30;11;17
Density;-12.0870361215934;-77.0261020423881;5;2020-06-23;20;22
Density;-12.0794103221207;-76.9919868766195;2;2020-09-08;13;22
Issue;-12.1077716280583;-77.0445184896419;2;2020-11-04;2;19
Issue;-12.0834792965089;-77.0455401173953;2;2020-04-08;0;10
Density;-12.08534252181;-77.0135757986163;3;2020-07-09;16;17
Issue;-12.0720745424638;-77.0371785301782;5;2020-05-24;8;8
Issue;-12.1104825780841;-77.0350547938838;3;2020-08-15;13;19
Density;-12.1027770006031;-77.0390253555991;3;2020-02-13;18;21
Density;-12.0954343709071;-77.0157445032206;2;2020-04-16;13;13
Issue;-12.0913701245557;-76.9951469783302;1;2020-08-10;13;20
Density;-12.0793797852687;-77.0142702662274;3;2020-07-08;0;2
Density;-12.0804241685217;-76.9901851415823;1;2020-08-29;3;22
Density;-12.0969841103553;-77.0179792368621;4;2020-01-08;15;18
Issue;-12.0873367450429;-77.0455743459751;4;2020-03-01;7;9
Issue;-12.0936298589633;-77.0494954674809;4;2020-07-09;18;18
Density;-12.1139967137377;-76.9939497544949;2;2020-02-28;15;23
Density;-12.0859129712574;-76.9948502447356;3;2020-07-14;1;13
Issue;-12.09470971521;-77.0209781705962;5;2020-01-12;3;4
Density;-12.092296733587;-77.0107219504538;3;2020-01-30;22;23
Issue;-12.1009983481575;-77.0367424875681;2;2020-12-03;6;7
Issue;-12.0679788337467;-77.0490498965065;5;2020-02-03;1;3
Density;-12.1061474238144;-77.0150778885071;4;2020-04-18;8;8
Density;-12.0722905937843;-77.0141947101026;1;2020-08-09;11;22
Density;-12.0726867196692;-76.9784987559577;5;2020-10-09;7;19
Density;-12.0760824368477;-76.9711350019686;3;2020-08-22;21;21
Issue;-12.0777328101476;-76.9739435876503;3;2020-06-28;14;23
Issue;-12.1060137038924;-77.0002198088841;4;2020-12-20;4;15
Density;-12.0914361188475;-77.0284274555973;3;2020-10-26;22;23
Issue;-12.0727767196879;-77.0043316893127;2;2020-02-17;8;15
Issue;-12.1080726367613;-76.9905538123214;5;2020-07-17;7;8
Issue;-12.0891163505315;-77.0468058846925;5;2020-04-19;21;23
Issue;-12.086403495145;-76.9987167996744;4;2020-02-01;18;23
Density;-12.0939786532963;-76.9797055606289;1;2020-08-13;12;19
Density;-12.0986420139323;-77.0302793648441;2;2020-12-11;22;22
Density;-12.110016828206;-77.0466278851302;1;2020-05-28;14;22
Density;-12.103386032786;-76.9887928585425;4;2020-05-15;18;21
Density;-12.1113942121482;-77.0328466265044;3;2020-06-08;18;23
Density;-12.1061793372158;-77.0170056095257;2;2020-09-01;22;22
Issue;-12.1073985251883;-77.0045294596909;2;2020-12-27;7;12
Density;-12.0963901221275;-76.9675469832945;4;2020-01-18;5;16
Density;-12.1037228167653;-77.0358297885087;2;2020-11-20;14;23
Density;-12.0685907991223;-77.0493004260723;3;2020-01-21;17;20
Density;-12.1066558625942;-76.9792939249484;4;2020-04-07;23;23
Issue;-12.1074734854297;-76.9809675258232;3;2020-10-05;4;7
Density;-12.1031791246857;-77.0048919243364;3;2020-07-19;19;22
Issue;-12.0824534764793;-77.0234576698952;1;2020-09-06;0;0
Density;-12.0980906120344;-76.9873806340469;4;2020-07-28;6;21
Density;-12.0917093731084;-76.9682092996328;2;2020-10-07;3;21
Issue;-12.1036304992176;-77.00929897753;1;2020-03-19;22;23
Density;-12.1008035179649;-76.990601733509;5;2020-04-10;11;17
Issue;-12.0732242402513;-76.9743152048981;3;2020-08-31;22;23
Issue;-12.1130479961775;-76.9935677815472;4;2020-04-05;17;20
Issue;-12.0748132783037;-76.9755070159064;3;2020-10-29;23;23
Density;-12.1005647703042;-77.0257712918335;3;2020-11-19;15;17
Issue;-12.0834790550722;-77.003567892829;2;2020-07-29;6;20
Density;-12.1065455341418;-76.9790422559876;3;2020-03-04;12;12
Density;-12.0669048997202;-77.0466187675808;5;2020-12-26;13;17
Issue;-12.0842754066509;-77.0098720306678;3;2020-01-25;21;23
Issue;-12.1143416180614;-77.0213100516669;2;2020-06-25;4;10
Issue;-12.1158386226754;-76.9769919309074;5;2020-02-20;15;22
Issue;-12.0679122350191;-77.0213891682895;2;2020-07-24;16;21
Density;-12.0883949737667;-76.9929786519087;1;2020-03-27;1;16
Density;-12.0695722968128;-76.9776337675328;2;2020-10-07;10;18
Issue;-12.1103104690443;-77.0103258222738;4;2020-12-07;3;8
Density;-12.0987764156748;-77.0133620149949;3;2020-06-15;5;6
Issue;-12.0995561453699;-76.9961310111698;2;2020-07-26;10;16
Density;-12.114989329802;-77.0239298605157;5;2020-04-02;22;23
Density;-12.0835068792798;-76.9882904962112;2;2020-02-29;19;20
Issue;-12.0989438973612;-76.9967633898319;2;2020-08-23;22;23
Issue;-12.077432956726;-76.9700586022564;5;2020-02-02;1;8
Density;-12.0800211597937;-77.0015311658394;3;2020-02-06;8;22
Issue;-12.0996671270192;-77.0229198243936;4;2020-11-11;18;23
Issue;-12.0666794543719;-76.9679947677308;5;2020-04-11;20;23
Density;-12.0903311261365;-76.9935739212558;1;2020-09-02;10;18
Issue;-12.0885879528271;-77.0318307751476;2;2020-07-11;12;20
Issue;-12.074972101113;-76.9885848641351;5;2020-03-01;13;20
Issue;-12.0760134861559;-76.976468946186;2;2020-10-05;23;23
Issue;-12.079809477501;-77.0016102863914;5;2020-04-29;2;5
Density;-12.1130158335203;-77.04294714375;2;2020-06-21;6;20
Density;-12.0953140988983;-77.0006725622173;2;2020-03-07;14;14
Issue;-12.0714605599652;-77.0436756300923;4;2020-07-13;20;22
Density;-12.0675957856786;-77.0341574931836;5;2020-06-14;2;21
Issue;-12.0765913505686;-77.0016022373291;5;2020-09-12;7;7
Issue;-12.0814243586137;-77.0428923316986;4;2020-08-11;9;17
Issue;-12.1081812526203;-77.025133880128;4;2020-03-21;3;15
Issue;-12.079897429242;-76.9728125780056;1;2020-01-13;18;20
Density;-12.104421320495;-76.984408579864;2;2020-09-19;1;14
Density;-12.0803412806005;-77.0180564056289;3;2020-05-07;13;23
Issue;-12.0757503355769;-77.0204141296148;2;2020-07-30;20;21
Issue;-12.0836491101066;-77.0057020979935;4;2020-02-14;18;19
Issue;-12.0762848666066;-76.9973176148269;2;2020-01-29;14;18
Issue;-12.1113039580006;-77.0297416781375;5;2020-03-15;4;18
Issue;-12.1111858168662;-77.0169410729213;3;2020-06-09;14;22
Issue;-12.0946991753674;-77.0176308633941;5;2020-10-23;13;21
Issue;-12.0998526927215;-77.0036849290107;4;2020-01-25;3;11
Issue;-12.0658262124846;-76.9677094909065;1;2020-10-29;21;21
Density;-12.0959717178194;-76.9663393729747;4;2020-10-08;6;21
Density;-12.1146914581812;-77.0475676878902;5;2020-12-06;23;23
Density;-12.1120336952544;-76.9877846725473;4;2020-11-23;21;23
Issue;-12.0712685320451;-76.9907601887625;1;2020-03-27;10;12
Issue;-12.1034409300845;-76.9969470961093;5;2020-06-10;15;16
Density;-12.0664364481093;-76.9739181968533;3;2020-09-12;4;6
Issue;-12.0717776621057;-77.0488281087031;5;2020-05-26;14;20
Issue;-12.1043497364756;-76.9736904986658;3;2020-05-05;20;23
Issue;-12.0944175876936;-76.9856806749767;4;2020-11-03;6;12
Issue;-12.0934211528959;-77.0480866782078;1;2020-07-02;4;21
Issue;-12.0670046463891;-76.9742457403245;2;2020-07-26;18;22
Density;-12.1124766083198;-77.0101800150483;5;2020-06-18;6;7
Issue;-12.089064086187;-76.9682636569913;4;2020-02-15;23;23
Density;-12.1114124110895;-77.0170375138165;3;2020-12-08;15;15
Issue;-12.0927881463472;-76.9790014907958;2;2020-04-26;17;20
Issue;-12.0675259682028;-76.9721013827219;1;2020-08-14;14;14
Issue;-12.0968173391736;-76.9927700176051;3;2020-09-11;21;21
Issue;-12.0803664432344;-77.0480977007294;3;2020-10-04;1;12
Density;-12.0751758214832;-77.0410177257746;5;2020-07-18;11;14
Issue;-12.1031583932769;-76.9821019545758;2;2020-09-22;15;21
Density;-12.0769703716444;-77.0454491363233;4;2020-12-01;12;20
Density;-12.0882646392159;-77.0287450844966;4;2020-06-25;21;22
Density;-12.100456497173;-76.9940984127293;1;2020-10-09;5;8
Density;-12.0897065693326;-76.9794634799531;2;2020-02-12;0;15
Density;-12.1157014577732;-76.9703653361388;4;2020-11-02;7;23
Issue;-12.0972303968524;-76.9957639506202;1;2020-08-27;5;11
Issue;-12.0899348155678;-77.0128849890614;2;2020-02-05;13;13
Issue;-12.065051867899;-77.0380160617855;3;2020-02-13;11;15
Issue;-12.1102540268255;-77.0238879514628;3;2020-04-16;3;16
Issue;-12.0652109676664;-77.0376131237081;4;2020-06-09;1;20
Density;-12.0693916989534;-77.0382867345198;3;2020-10-11;19;19
Issue;-12.0812829018495;-76.9780683847931;2;2020-06-02;18;20
Density;-12.1036774292237;-77.0169766265428;1;2020-08-25;22;22
Issue;-12.0937897996546;-76.9807518018657;1;2020-12-12;20;20
Density;-12.0975285496826;-76.9939775869589;5;2020-06-21;18;21
Density;-12.0844546684737;-77.0098921548115;3;2020-09-18;17;23
Density;-12.0873728126383;-77.0060459792525;3;2020-03-17;6;12
Density;-12.0731471663318;-76.9829406711896;2;2020-01-17;14;16
Density;-12.0721244059494;-77.0343979746528;5;2020-06-04;22;23
Issue;-12.1156571985671;-77.0417866487978;2;2020-06-09;18;21
Density;-12.0944774628054;-77.0248494381892;1;2020-01-05;0;1
Issue;-12.1002335633428;-76.9725060491102;1;2020-12-21;21;21
Issue;-12.1031978039682;-76.9751050769287;2;2020-04-23;5;18
Density;-12.0763118130792;-76.975922761574;5;2020-02-07;13;17
Density;-12.1125357614743;-77.0177753217783;4;2020-03-21;17;23
Density;-12.0749096959655;-77.0374859871227;1;2020-12-24;10;12
Issue;-12.1078310562547;-76.9742089723196;1;2020-02-02;19;23
Density;-12.090523409132;-77.0412698989841;5;2020-07-14;6;16
Issue;-12.1099883263047;-77.051890250972;4;2020-03-03;20;20
Issue;-12.0989285907668;-77.0285437722389;3;2020-04-27;0;10
Density;-12.0904232776882;-76.9965177700532;3;2020-05-22;20;22
Density;-12.0882578909078;-77.0059805097822;4;2020-05-15;11;20
Issue;-12.0982073064322;-76.9721622453682;3;2020-04-12;2;15
Issue;-12.0752867080335;-77.0279893392619;2;2020-05-22;5;6
Issue;-12.0930397892171;-77.0366548987217;1;2020-02-14;1;9
Density;-12.09720637459;-76.9726976158821;5;2020-06-16;17;22
Density;-12.0714868860142;-76.9861038511399;3;2020-05-26;18;23
Issue;-12.08743081327;-77.0017649830988;3;2020-10-16;0;8
Issue;-12.1132709909799;-77.0409331200496;1;2020-03-19;7;14
Issue;-12.0827114825859;-77.0216013784769;5;2020-04-14;23;23
Density;-12.1118508807177;-77.0338853140253;2;2020-02-14;10;12
Issue;-12.0816840811422;-77.0400791917953;2;2020-10-19;2;6
Density;-12.1104917106896;-77.0024860100132;5;2020-08-13;1;4
Issue;-12.1062591473552;-76.985196617908;2;2020-01-20;17;18
Issue;-12.0845562021221;-77.0070858213472;1;2020-05-17;1;2
Issue;-12.1066380428974;-77.03050875434;5;2020-11-18;15;15
Density;-12.0859115786604;-77.0445021061996;2;2020-05-12;17;17
Density;-12.1149339331826;-77.0429357702688;3;2020-05-20;14;18
Issue;-12.0956110779567;-76.9684635296993;1;2020-02-17;22;22
Issue;-12.1138320864978;-77.0405635295102;1;2020-01-18;6;7
Issue;-12.0651132074287;-76.9938907809761;1;2020-02-07;16;18
Density;-12.0895178557072;-76.9724559082846;4;2020-11-13;3;17
Issue;-12.0808358834612;-77.0183996206971;1;2020-11-27;1;23
Issue;-12.0677513821838;-76.9829013400039;3;2020-01-25;9;20
Issue;-12.0847598047444;-77.0157526988024;2;2020-10-27;22;23
Density;-12.100230662635;-77.0351412314041;2;2020-07-17;3;21
Density;-12.1056421646629;-77.0014841901747;5;2020-05-04;8;9
Issue;-12.070254152755;-77.0379177614269;2;2020-05-31;8;10
Density;-12.0668474364582;-77.0025979555746;5;2020-01-09;23;23
Issue;-12.0711889729666;-77.0512259072528;1;2020-06-02;2;22
Issue;-12.1078337115172;-77.0239514829635;1;2020-06-11;15;23
Issue;-12.0724727595177;-77.0462337590258;1;2020-11-17;9;19
Issue;-12.1055760708446;-77.013143274878;2;2020-11-22;18;20
Issue;-12.1139860518027;-76.9780653869893;4;2020-05-22;22;22
Issue;-12.0654566547;-76.9958194770396;3;2020-06-21;22;22
Issue;-12.075268188534;-77.0416785202721;1;2020-07-26;8;16
Density;-12.1050718957363;-77.008930563247;1;2020-01-02;0;20
Issue;-12.0743931074812;-77.0164342944684;4;2020-09-23;21;23
Issue;-12.0785639074961;-77.0098935873868;3;2020-02-26;4;17
Density;-12.081012766161;-77.041740003539;5;2020-12-28;7;19
Density;-12.0857925312574;-76.9939504669578;4;2020-06-20;19;22
Density;-12.0719634567415;-77.0111230594453;4;2020-05-22;9;15
Density;-12.1071860013635;-77.0251861487399;1;2020-08-28;16;16
Density;-12.0660460822428;-76.9929292035028;2;2020-11-29;16;21
Issue;-12.0811879673599;-77.0175327834225;3;2020-12-08;2;19
Density;-12.0876246226339;-77.041118957228;1;2020-01-01;13;23
Density;-12.0739688877728;-77.0197849574117;1;2020-09-24;22;23
Density;-12.1051884235435;-77.0517566130103;3;2020-11-07;11;19
Issue;-12.0782871353583;-76.9731453098699;2;2020-01-12;15;17
Density;-12.1149925995418;-77.0309202858925;2;2020-09-09;6;17
Issue;-12.0762602028943;-76.9764990142942;5;2020-11-30;1;14
Density;-12.1163831101385;-76.9676105187868;1;2020-02-17;21;22
